EventID,Ajans,Tarih,Enlem,Boylam,Derinlik,Rms,Tip,Büyüklük,Ülke,Ýl,Ýlçe,Köy,Diðer,
375653,DDA,2017-06-12 19:30:15Z,38.8673,26.3866,12.29,0.27000,Mw,4.0,-,-,-,-,Ege Denizi, 20.91 km. Karaburun (Izmir)
375651,DDA,2017-06-12 19:16:23Z,38.8243,26.3615,9.50,0.17000,Mw,3.7,-,-,-,-,Ege Denizi, 16.68 km. Karaburun (Izmir)
375642,DDA,2017-06-12 18:27:25Z,38.9483,26.1095,7.01,0.19000,ML,3.2,-,-,-,-,Ege Denizi, 38.79 km. Karaburun (Izmir)
375633,DDA,2017-06-12 18:25:01Z,38.8608,26.3770,6.97,0.25000,Mw,4.0,-,-,-,-,Ege Denizi, 20.32 km. Karaburun (Izmir)
375631,DDA,2017-06-12 17:41:12Z,38.8953,26.2458,5.99,0.35000,Mw,3.5,-,-,-,-,Ege Denizi, 27.84 km. Karaburun (Izmir)
375629,DDA,2017-06-12 17:37:25Z,38.8988,26.2313,6.47,0.16000,Mw,3.5,-,-,-,-,Ege Denizi, 28.70 km. Karaburun (Izmir)
375618,DDA,2017-06-12 17:19:47Z,38.8548,26.3601,12.42,0.33000,Mw,4.3,-,-,-,-,Ege Denizi, 19.97 km. Karaburun (Izmir)
375616,DDA,2017-06-12 17:05:13Z,36.9695,36.0786,10.96,0.69000,ML,3.1,Türkiye,Hatay,Erzin,-,-
375614,DDA,2017-06-12 17:02:45Z,38.8041,26.3980,7.01,0.22000,Mw,3.1,-,-,-,-,Ege Denizi, 13.82 km. Karaburun (Izmir)
375615,DDA,2017-06-12 16:57:01Z,38.8975,26.2373,7.01,0.29000,ML,3.4,-,-,-,-,Ege Denizi, 28.36 km. Karaburun (Izmir)
375613,DDA,2017-06-12 16:53:13Z,38.9038,26.2701,7.06,0.32000,ML,3.2,-,-,-,-,Ege Denizi, 27.87 km. Karaburun (Izmir)
375607,DDA,2017-06-12 16:42:23Z,38.8195,26.3558,7.01,0.27000,ML,3.3,-,-,-,-,Ege Denizi, 16.32 km. Karaburun (Izmir)
375609,DDA,2017-06-12 16:40:08Z,38.8543,26.2673,7.03,0.21000,ML,3.0,-,-,-,-,Ege Denizi, 22.92 km. Karaburun (Izmir)
375602,DDA,2017-06-12 16:24:25Z,38.9148,26.2946,6.91,0.59000,ML,3.1,-,-,-,-,Ege Denizi, 28.10 km. Karaburun (Izmir)
375594,DDA,2017-06-12 16:12:23Z,38.8695,26.2935,2.64,0.36000,ML,3.0,-,-,-,-,Ege Denizi, 23.56 km. Karaburun (Izmir)
375596,DDA,2017-06-12 16:10:14Z,38.8925,26.3485,7.00,0.91000,ML,3.2,-,-,-,-,Ege Denizi, 24.28 km. Karaburun (Izmir)
375599,DDA,2017-06-12 16:07:07Z,38.8653,26.3891,7.04,0.37000,ML,3.4,-,-,-,-,Ege Denizi, 20.66 km. Karaburun (Izmir)
375597,DDA,2017-06-12 16:05:10Z,38.8560,26.3430,7.04,0.50000,ML,3.2,-,-,-,-,Ege Denizi, 20.52 km. Karaburun (Izmir)
375590,DDA,2017-06-12 16:00:14Z,38.8568,26.3665,7.01,0.32000,ML,3.3,-,-,-,-,Ege Denizi, 20.06 km. Karaburun (Izmir)
375584,DDA,2017-06-12 15:49:51Z,38.8643,26.3223,7.00,0.56000,ML,3.0,-,-,-,-,Ege Denizi, 22.00 km. Karaburun (Izmir)
375583,DDA,2017-06-12 15:47:25Z,38.8790,26.4085,7.05,0.37000,ML,3.6,-,-,-,-,Ege Denizi, 22.05 km. Karaburun (Izmir)
375589,DDA,2017-06-12 15:41:55Z,39.1925,26.6498,7.05,0.40000,ML,3.5,-,-,-,-,Ege Denizi, 7.29 km. Ayvalik (Balikesir)
375579,DDA,2017-06-12 15:38:51Z,38.4558,27.0116,6.99,0.64000,ML,3.3,Türkiye,-,-,-,Izmir Korfezi, 0.63 km. Çigli (Izmir)
375580,DDA,2017-06-12 15:35:57Z,38.9335,26.2270,7.04,0.89000,ML,3.4,-,-,-,-,Ege Denizi, 32.38 km. Karaburun (Izmir)
375577,DDA,2017-06-12 15:35:33Z,38.8586,26.3681,7.15,0.32000,Mw,4.9,-,-,-,-,Ege Denizi, 20.23 km. Karaburun (Izmir)
375581,DDA,2017-06-12 15:32:53Z,38.8236,26.3361,6.98,0.48000,ML,4.0,-,-,-,-,Ege Denizi, 17.37 km. Karaburun (Izmir)
375578,DDA,2017-06-12 15:31:38Z,38.8941,26.2456,7.01,0.62000,Mw,4.9,-,-,-,-,Ege Denizi, 27.72 km. Karaburun (Izmir)
375576,DDA,2017-06-12 15:28:37Z,38.8486,26.3130,15.96,0.28000,Mw,6.2,-,-,-,-,Ege Denizi, 20.73 km. Karaburun (Izmir)
375516,DDA,2017-06-12 00:42:06Z,35.8285,29.2618,40.10,0.16000,ML,3.0,-,-,-,-,Akdeniz, 41.13 km. Kas (Antalya)
375383,DDA,2017-06-10 11:51:46Z,40.0426,35.6378,10.00,0.15000,Mw,3.9,Türkiye,Yozgat,Çekerek,-,-
375275,DDA,2017-06-08 18:52:53Z,34.5110,24.8400,162.10,0.80000,Mw,3.9,-,-,-,-,Akdeniz, 
375190,DDA,2017-06-08 02:09:07Z,34.9010,23.6810,15.00,0.30000,ML,3.2,-,-,-,-,Akdeniz, 
375153,DDA,2017-06-07 21:25:42Z,41.4628,45.7140,7.31,0.25000,Mw,4.5,Gürcistan,Signagi,-,-,-
375103,DDA,2017-06-07 10:47:06Z,40.5316,30.5360,7.00,0.30000,ML,3.0,Türkiye,Sakarya,Akyazi,-,-
375040,DDA,2017-06-07 00:53:30Z,38.6310,27.5553,6.97,0.16000,ML,3.0,Türkiye,Manisa,Sehzadeler,-,-
374994,DDA,2017-06-06 12:26:22Z,38.6255,27.5558,7.39,0.38000,ML,3.0,Türkiye,Manisa,Sehzadeler,-,-
